"aircraft_serial_number","ata_chapter","ata_description","jasc_code","operator_control_number","failed_part","severity","jasc_description"
29523,34,"Navigation","3440","AALA202403288650","other",3,"INDEPENDENT POS. DETERMINING SYSTEM"
31147,52,"Doors","5210","AALA202403047029","door",0,"PASSENGER/CREW DOORS"
31109,25,"Equipment / Furnishings","2560","AALA202404015464","door",1,"EMERGENCY EQUIPMENT"
29567,25,"Equipment / Furnishings","2560","AALA202404014084","door",1,"EMERGENCY EQUIPMENT"
31270,25,"Equipment / Furnishings","2560","AALA202404017656","battery",1,"EMERGENCY EQUIPMENT"
44477,33,"Lights","3350","AALA202412044587","other",1,"EMERGENCY LIGHTING"
29506,53,"Fuselage","5320","AALA202403152596","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29504,55,"Stabilizers","5500","AALA202403183669","other",0,"EMPENNAGE STRUCTURE"
33314,53,"Fuselage","5310","AALA202406106080","other",0,"FUSELAGE MAIN, STRUCTURE"
29532,53,"Fuselage","5320","AALA202404019043","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29532,53,"Fuselage","5320","AALA202404010159","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29534,55,"Stabilizers","5510","AALA202404010402","other",0,"HORIZONTAL STABILIZER STRUCTURE"
33211,53,"Fuselage","5310","AALA202404019116","wheel",0,"FUSELAGE MAIN, STRUCTURE"
30083,53,"Fuselage","5310","AALA202405078331","wheel",0,"FUSELAGE MAIN, STRUCTURE"
33232,25,"Equipment / Furnishings","2560","AALA202403114611","CND",1,"EMERGENCY EQUIPMENT"
29564,25,"Equipment / Furnishings","2560","AALA202403143032","door",1,"EMERGENCY EQUIPMENT"
31236,25,"Equipment / Furnishings","2560","AALA202403184800","other",1,"EMERGENCY EQUIPMENT"
31143,25,"Equipment / Furnishings","2560","AALA202403251554","door",1,"EMERGENCY EQUIPMENT"
31143,53,"Fuselage","5320","AALA202403259387","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
40769,32,"Landing Gear","3220","AALA202403207902","sensor",3,"NOSE/TAIL LANDING GEAR"
29529,53,"Fuselage","5340","AALA202403049662","other",0,"FUSELAGE MAIN, ATTACH FITTINGS"
30083,25,"Equipment / Furnishings","2560","AALA202403043125","pack",1,"EMERGENCY EQUIPMENT"
29529,53,"Fuselage","5320","AALA202403046909","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
40766,53,"Fuselage","5310","AALA202403055079","door",0,"FUSELAGE MAIN, STRUCTURE"
44454,25,"Equipment / Furnishings","2560","AALA202403055281","door",1,"EMERGENCY EQUIPMENT"
29508,52,"Doors","5250","AALA202403060158","door",0,"FIXED INNER DOORS"
44480,21,"Air Conditioning","2150","AALA202404037910","CND",3,"CABIN COOLING SYSTEM"
33208,26,"Fire Protection","2610","AALA202403074964","CND",3,"DETECTION SYSTEM"
31097,28,"Fuel","2820","AALA202403083505","switch",1,"ACFT FUEL DISTRIB. SYSTEM"
30087,25,"Equipment / Furnishings","2530","AALA202502104617","oven",3,"BUFFET/GALLEYS"
31153,27,"Flight Controls","2700","AALA202403126201","CND",3,"FLIGHT CONTROL SYSTEM"
31253,52,"Doors","5250","AALA202403123908","door",0,"FIXED INNER DOORS"
30083,53,"Fuselage","5320","AALA202404121855","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31091,25,"Equipment / Furnishings","2560","AALA202404013189","battery",1,"EMERGENCY EQUIPMENT"
31143,53,"Fuselage","5320","AALA202403252646","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29558,52,"Doors","5250","AALA202403261768","door",0,"FIXED INNER DOORS"
29523,34,"Navigation","3440","AALA202403289033","other",3,"INDEPENDENT POS. DETERMINING SYSTEM"
29521,53,"Fuselage","5330","AALA202403044430","other",0,"FUSELAGE MAIN, PLATE/SKIN"
29507,57,"Wings","5730","AALA202404018230","panel",0,"WING, PLATES/SKINS"
29532,53,"Fuselage","5320","AALA202404010532","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31091,33,"Lights","3350","AALA202403041029","other",1,"EMERGENCY LIGHTING"
33232,25,"Equipment / Furnishings","2560","AALA202403048375","CND",1,"EMERGENCY EQUIPMENT"
31270,33,"Lights","3350","AALA202404016688","battery",1,"EMERGENCY LIGHTING"
31280,33,"Lights","3350","AALA202403051432","other",1,"EMERGENCY LIGHTING"
31067,21,"Air Conditioning","2120","AALA202403144550","CND",3,"AIR DISTRIBUTION SYSTEM"
31215,28,"Fuel","2820","AALA202505091470","CND",3,"ACFT FUEL DISTRIB. SYSTEM"
31242,25,"Equipment / Furnishings","2560","AALA202403156478","other",1,"EMERGENCY EQUIPMENT"
31143,53,"Fuselage","5320","AALA202403259429","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31143,53,"Fuselage","5320","AALA202403251135","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29547,56,"Windows","5610","AALA202403258518","CND",3,"FLIGHT COMPARTMENT WINDOWS"
31231,57,"Wings","5750","AALA202403271155","other",0,"WING, CONTROL SURFACES"
31143,53,"Fuselage","5320","AALA202403273514","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31143,53,"Fuselage","5320","AALA202403277363","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33314,53,"Fuselage","5310","AALA202403042425","duct",0,"FUSELAGE MAIN, STRUCTURE"
33328,33,"Lights","3350","AALA202404017281","other",1,"EMERGENCY LIGHTING"
31280,33,"Lights","3350","AALA202403117246","other",1,"EMERGENCY LIGHTING"
29516,53,"Fuselage","5310","AALA202403222241","door",0,"FUSELAGE MAIN, STRUCTURE"
31143,53,"Fuselage","5320","AALA202403257417","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29534,53,"Fuselage","5320","AALA202403259761","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30082,53,"Fuselage","5320","AALA202403062078","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29557,21,"Air Conditioning","2120","AALA202502246382","valve",3,"AIR DISTRIBUTION SYSTEM"
44449,52,"Doors","5250","AALA202404017371","door",0,"FIXED INNER DOORS"
30082,53,"Fuselage","5320","AALA202403066470","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30082,53,"Fuselage","5320","AALA202403062004","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30084,52,"Doors","5250","AALA202404037444","door",0,"FIXED INNER DOORS"
30906,32,"Landing Gear","3230","AALA202404038625","CND",3,"LANDING GEAR RETRACT/EXTEND SYSTEM"
29577,25,"Equipment / Furnishings","2560","AALA202403072616","door",1,"EMERGENCY EQUIPMENT"
29507,28,"Fuel","2820","AALA202408239850","CND",3,"ACFT FUEL DISTRIB. SYSTEM"
31158,25,"Equipment / Furnishings","2560","AALA202403187686","pack",1,"EMERGENCY EQUIPMENT"
30083,53,"Fuselage","5320","AALA202404100966","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30087,52,"Doors","5250","AALA202403188469","door",0,"FIXED INNER DOORS"
30083,53,"Fuselage","5320","AALA202404128121","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29506,53,"Fuselage","5320","AALA202403151262","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
29506,53,"Fuselage","5320","AALA202403153132","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30598,53,"Fuselage","5320","AALA202403250473","panel",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
33314,53,"Fuselage","5330","AALA202406070379","other",0,"FUSELAGE MAIN, PLATE/SKIN"
44446,33,"Lights","3350","AALA202403274448","CND",1,"EMERGENCY LIGHTING"
31143,25,"Equipment / Furnishings","2560","AALA202404019090","door",1,"EMERGENCY EQUIPMENT"
31210,25,"Equipment / Furnishings","2560","AALA202403131891","CND",1,"EMERGENCY EQUIPMENT"
29506,53,"Fuselage","5320","AALA202403157878","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
31210,25,"Equipment / Furnishings","2560","AALA202403155232","other",1,"EMERGENCY EQUIPMENT"
33318,55,"Stabilizers","5510","AALA202403195518","other",0,"HORIZONTAL STABILIZER STRUCTURE"
29504,53,"Fuselage","5350","AALA202403195459","other",0,"AERODYNAMIC FAIRINGS"
31143,53,"Fuselage","5310","AALA202403257301","other",0,"FUSELAGE MAIN, STRUCTURE"
31194,52,"Doors","5250","AALA202403255808","latch",0,"FIXED INNER DOORS"
31159,53,"Fuselage","5320","AALA202403208370","door",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
30598,53,"Fuselage","5320","AALA202404018717","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
44463,33,"Lights","3350","AALA202404016007","door",1,"EMERGENCY LIGHTING"
33222,33,"Lights","3350","AALA202404014203","other",1,"EMERGENCY LIGHTING"
33226,52,"Doors","5250","AALA202403063860","door",0,"FIXED INNER DOORS"
30082,53,"Fuselage","5320","AALA202403066274","other",0,"FUSELAGE MISCELLANEOUS STRUCTURE"
44477,25,"Equipment / Furnishings","2560","AALA202403077502","door",1,"EMERGENCY EQUIPMENT"
44477,25,"Equipment / Furnishings","2560","AALA202403071721","door",1,"EMERGENCY EQUIPMENT"
33338,25,"Equipment / Furnishings","2560","AALA202404032215","acm",1,"EMERGENCY EQUIPMENT"
